,g1r1.fasta_Output.txt,g1r2.fasta_Output.txt,g1r3.fasta_Output.txt,g2r1.fasta_Output.txt,g2r2.fasta_Output.txt,g2r3.fasta_Output.txt,g3r1.fasta_Output.txt,g3r2.fasta_Output.txt,g3r3.fasta_Output.txt
0,1,1,1,2,2,2,3,3,3
NM_001102653,881.9051291599329,1003.6633004868838,1016.9242976227874,1288.9442672221894,1157.4501845992058,1176.8672143362144,1328.4501613830193,1475.2534552024258,1391.2132471131015
NM_001119,533.6886676517348,498.43466977903586,539.5028121457113,725.844638432077,846.0357300295057,588.4783992318492,648.9389098160393,614.0923014039433,716.9462616515378
NM_001130678,417.2718971965566,407.744314388948,526.4000620972402,529.1943931611237,524.539355948048,525.5383608793039,580.4397577268841,449.68824546641036,478.15884599365955
NM_001130709,492.74347906360276,593.1170907011743,496.0145021900297,579.9909949767889,553.6577999769092,514.6408315351367,979.191033160492,1009.7534700560418,1016.5595968420247
NM_001145065,276.7029551176354,353.9223598980468,309.69455471259226,501.4077742005944,505.2162053381251,476.76848065505925,0,0,0
NM_001159601,587.4864479377031,1057.5508299804699,1095.5904338040782,927.8960944327406,963.6830630368557,1003.3094320101166,807.4778726500034,840.5654425196117,800.8698377785425
NM_001177998,0,652.4250205294744,613.1719109796298,460.80331961012877,509.07515334657126,523.7652041782201,0,0,0
NM_001286712,378.47954281054325,641.7298756747645,635.1225122991407,603.3917867908585,657.0857881017596,602.4065578518619,774.2019148406674,732.9207591267517,784.7533719445352
NM_014190,634.4096987675946,551.2819999523942,543.2523204423743,341.0520943234129,514.3958940048619,468.7556089880715,631.5845378602071,621.2914456663817,560.8817178568911
NM_016269,993.3384673979501,1080.3799151537746,989.2308389542833,966.2232566830272,998.1551588654593,950.0040600056789,841.7622101416011,950.6846999166418,943.4437594374948
NM_020225,237.85382137038945,249.27303088967616,0,337.4518536309292,312.6472674888674,397.9962849048694,611.1432777611057,638.35472576558,700.6586467495508
NM_021069,0,0,0,0,0,0,0,0,334.99906030719933
NM_021928,809.3819442432236,859.5789963667121,825.8853151677727,1059.0943593688605,1076.0064850454823,1039.4012625780445,1097.8148016549871,1048.2390554346782,180.84918649988623
NM_030821,479.5286999198855,550.7847084379505,552.9207894606025,832.3298321021198,776.2593995361665,832.987892329082,875.1292326630877,924.8057575144479,1100.4464175311666
NM_198038,854.2184029879247,894.812163469561,833.6178685145445,886.177614120936,0,865.5083720696983,623.2349907974685,605.169320496279,583.4991291095952
NM_212557,478.6665135272293,507.11971312303774,495.9408841847728,447.63512836412906,362.30402548052194,504.47951270914757,0,0,0
NR_003249,1066.9137827746092,1176.348354592444,1061.5575517408051,892.7503873190598,963.437764932607,816.2540448636752,406.031076983875,417.31022064111266,430.43561224985
XM_004040485,1116.4603643489233,174.92359642102159,156.61365865097162,280.4897848243345,221.3455566270219,211.84701417105,1128.0627937249023,1087.8912096846773,1004.0182158534313
XM_005262725,1248.906672919381,1227.628564455993,1189.5197828981986,1272.8328013998887,1205.4809953384656,1325.2987734044125,1087.9975226562158,1014.6084912490525,1077.1911265268157
XM_007998932,366.96514612447424,423.9760451337472,336.3341784985254,156.79263926508705,570.0868981248348,159.21369342442887,331.6850144845341,355.18939268283293,846.0844947950934
XM_009448489,876.0460173650791,880.5696047143858,935.8839122084828,222.43514995513306,182.22910595313544,1021.7887954772353,440.7465819810734,279.493469260979,329.0402044508956
XM_011513476,715.9335225187996,803.54277969453,231.04010109004508,1046.4200360491573,1025.3218374033092,1008.9567883434761,1280.711443079736,1264.9064062358962,1313.5514129531084
XM_011513910,309.06265279221486,193.43416065122284,188.07252388403447,279.267063239487,252.9489386317621,346.6627090785729,180.5115214206568,189.18900999113563,155.3717666413653
XM_011532027,205.46520101484063,214.61068196779257,877.5179653044513,566.4913859483692,618.9537932450514,444.1739041138127,544.3601868493902,624.9882297429664,663.0828894837282
XM_012049190,472.6999256751609,417.18383535725314,484.75541549203786,0,0,0,0,0,0
XM_012499868,290.73308175251503,224.66526409060245,244.28960146332136,263.4962055102861,197.55270850150816,223.7708602242726,462.89274848108687,541.4843997669095,506.1490837072775
XM_016951727,0,0,0,0,0,0,0,0,193.11871509274246
XM_016951973,0,0,0,1243.639939893846,1220.1590838435684,0,1276.2854398694762,1237.4112270773096,1200.5610875665684
XM_017007713,515.7166103368531,486.46494386127284,533.6346537134052,494.0558563220411,543.5093795534693,346.20410362188983,291.540042039333,450.03689357095266,364.8223388074201
XM_017008006,392.64774742036246,412.17695117430844,437.8149298986228,511.9031526858744,490.22355961184127,563.429515508502,504.88242168489563,634.62027002847,555.5157546580888
XM_017008034,762.7009930770722,843.9124821109754,781.7674118866321,200.52104545453363,327.8124451854799,194.1755283958396,357.67264451185986,335.9975975509269,349.16574920809876
XM_019025596,0,0,0,1083.4482633121597,1132.1521307060887,0,0,0,0
XM_019025931,669.2607083188686,449.3673024277756,471.14530932751813,650.8119771442119,684.1982476808691,670.7654299573782,273.1031709091358,351.7040844490109,299.3701628563266
XM_517274,1339.3642013506603,1310.6076948699592,1402.7147854705927,158.09235146749035,196.9625686188955,1217.9126308521695,196.19465426402323,262.4520613989231,180.06998088316408
