,0hourR1.fasta_Output.txt,24hourR1.fasta_Output.txt,8hourR1.fasta_Output.txt
AC011376.5,0,2.38,0
AK126290.1,0,3.46,0
AP009349.1,0,0,3.38
KF726143.1,1499.17,659.52,2855.41
NG_009190.1,0,0,4.46
XM_006903859.2,0,0,6.28
XM_006903872.2,0,0,0
XM_006904125.2,0,0,38.48
XM_006904143.2,0,4.42,0
XM_006906813.2,0,0,6.99
XM_006906884.2,5.1,0,0
XM_006906886.2,12.89,0,0
XM_006906887.2,1.26,0,0
XM_011380045.1,2.7,0,0
XM_011384971.1,3.84,0,0
XM_011384972.1,2.92,0,0
XM_011386939.1,0,0,9.3
XM_015585262.1,0,32.31,0
XM_015585716.1,0,4.13,0
XM_015587285.1,9.89,0,0
XM_015595750.1,0,0,0
XM_015600239.1,0,0,5.46
XM_015600646.1,0,0,9.13
XM_016157993.1,2.95,0,0
XR_001594631.1,5.29,0,0
XR_001597937.1,0,0,4.95
